model,real,fake,accuracy,roc_auc_score,log_loss
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,joshhu_853266,0.5315,0.5475814999999999,13.344207746144505
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,yuejiang_852934,0.557,0.5764785,13.290876287585897
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,yangquanwei_852303,0.505,0.5027745,13.413152437031263
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,miaotao_853000,0.5835,0.5826085,13.22302277185433
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,nbhh_853436,0.531,0.5255835,13.313712914326759
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,seanseattle_853068,0.517,0.5248954999999998,13.368768635171541
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,DFischerHDA_852673,0.5375,0.5517159999999999,13.333657137245034
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,DFGC_SYSU_852924,0.5265,0.5400939999999999,13.357394954344336
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,fake_baseline,0.526,0.5358335,13.387924070935268
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,zhaobh_852336,0.517,0.5327359999999999,13.371838682293033
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,lowtec_853184,0.5405,0.5434715,13.318812734387608
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,yZzzzzz_849853,0.544,0.5643634999999999,13.311010753882673
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,jerryHUST_853638,0.5235,0.5300054999999999,13.357636364096532
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,zz110_853170,0.5765,0.5792090000000001,13.232737297618407
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,wany_853175,0.5845,0.5876585,13.22070644532561
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,ctmiu_853213,0.532,0.5375555,13.341373379231097
CVPRW2019_Face_Artifacts,real_fulls,smartz_849705,0.5805,0.607188,1.4434740474843015
CVPRW2019_Face_Artifacts,real_fulls,joshhu_853266,0.256,0.12407699999999999,3.5871732902641282
CVPRW2019_Face_Artifacts,real_fulls,yuejiang_852934,0.404,0.416617,1.9713892659605332
CVPRW2019_Face_Artifacts,real_fulls,yangquanwei_852303,0.373,0.35331900000000005,2.273374868329161
CVPRW2019_Face_Artifacts,real_fulls,miaotao_853000,0.668,0.736422,1.25233560198595
CVPRW2019_Face_Artifacts,real_fulls,nbhh_853436,0.7255,0.8002610000000001,1.144936315324824
CVPRW2019_Face_Artifacts,real_fulls,seanseattle_853068,0.7265,0.8742,1.120817594278131
CVPRW2019_Face_Artifacts,real_fulls,DFischerHDA_852673,0.3615,0.29811299999999996,2.618735699657664
CVPRW2019_Face_Artifacts,real_fulls,DFGC_SYSU_852924,0.6245,0.6630720000000001,1.347983993830232
CVPRW2019_Face_Artifacts,real_fulls,fake_baseline,0.346,0.29628,2.5822230556615744
CVPRW2019_Face_Artifacts,real_fulls,zhaobh_852336,0.556,0.568063,1.5031079084853702
CVPRW2019_Face_Artifacts,real_fulls,lowtec_853184,0.702,0.827439,1.1882447180169329
CVPRW2019_Face_Artifacts,real_fulls,yZzzzzz_849853,0.7175,0.80498,1.148968867776335
CVPRW2019_Face_Artifacts,real_fulls,jerryHUST_853638,0.67,0.732554,1.2707828528134002
CVPRW2019_Face_Artifacts,real_fulls,zz110_853170,0.2775,0.14207300000000003,3.992249663304186
